FPR,TPR,Threshold
0.08087129189481919,0.9712592403772623,0.275
0.08231542210722667,0.9717690542951822,0.27
0.08490282207112342,0.9722788682131022,0.265
0.08652746856008184,0.9725975019118022,0.26
0.08797159877248932,0.9729161356105022,0.255
0.09055899873638606,0.9732347693092022,0.25
0.0920633010409772,0.9738083099668621,0.245
0.09344725916120103,0.974254397145042,0.24
0.09555328238762861,0.974827937802702,0.235
0.09705758469221974,0.975337751720622,0.23
0.09904326373428005,0.975720112159062,0.225
0.10048739394668753,0.976038745857762,0.22
0.10289427763403333,0.9762936528167219,0.215
0.10554184969011372,0.9771858271730818,0.21
0.10800890546964317,0.9777593678307418,0.205
0.10999458451170348,0.9780780015294418,0.2
0.11264215656778387,0.9785240887076218,0.195
0.11492869607076238,0.9790339026255417,0.19
0.11829833323304652,0.9796711700229416,0.185
0.12088573319694326,0.9801172572011216,0.18
0.12407485408267646,0.9807545245985215,0.175
0.12804621216679704,0.9810731582972215,0.17
0.13183705397436668,0.9814555187356615,0.165
0.13472531439918167,0.9819653326535814,0.16
0.13821529574583308,0.9822839663522814,0.155
0.14146458872374992,0.9826026000509814,0.15
0.1451350863469523,0.9831761407086413,0.145
0.14898610024670558,0.9837496813663013,0.14
0.1533786629761117,0.9841957685444813,0.135
0.15789156988988506,0.9845781289829212,0.13
0.1632468860942295,0.9851516696405812,0.125
0.16794030928455383,0.9856614835585011,0.12
0.17329562548889824,0.9859163905174612,0.115
0.17973403935254828,0.986617384654601,0.11
0.18623262530838197,0.986999745093041,0.105
0.1927913833563993,0.987509559010961,0.1
0.20061375534027318,0.987764465969921,0.095
0.20735302966484145,0.9882105531481009,0.09
0.21499488537216438,0.9887840938057609,0.085
0.22287742944822192,0.9893576344634208,0.08
0.23160238281485046,0.9901860820800408,0.075
0.24213249894698838,0.9910145296966607,0.07
0.25350502436969735,0.9915243436145806,0.065
